Chicago Ward,Township List,Property Type,2020Sales 33,2020Sales 66,2020Sales count,2020Sales median,2021FMVs 33,2021FMVs 66,2021FMVs count,2021FMVs median
45,Jefferson,Condo,139064,188240,133,"$164,500",140000,160000,2187,150000
45,Jefferson,Single-Family,310000,400000,440,"$354,950",310000,350000,10431,320000
45,Jefferson,Multi-Family (2-6 unit),405100,505000,98,"$455,375",390000,440000,3458,410000
18,Lake,Condo,40135,61780,20,"$52,000",35000,45000,673,35000
18,Lake,Single-Family,179860,220000,421,"$203,000",190000,210000,14531,200000
18,Lake,Multi-Family (2-6 unit),196800,259500,24,"$231,500",210000,250000,763,230000
35,Jefferson,Condo,195090,310200,95,"$272,000",170000,250000,1270,200000
35,Jefferson,Single-Family,374917,595380,150,"$447,000",340000,460000,3180,410000
35,Jefferson,Multi-Family (2-6 unit),380000,517900,114,"$458,000",390000,500000,4003,430000
14,"Lake, West Chicago",Condo,62710,81500,3,"$77,500",55000,95000,199,60000
14,"Lake, West Chicago",Single-Family,203140,249000,180,"$229,000",200000,250000,7833,230000
14,"Lake, West Chicago",Multi-Family (2-6 unit),236500,305800,56,"$279,900",220000,300000,2666,280000
20,"Lake, Hyde Park",Condo,135000,200000,57,"$170,000",110000,160000,1425,120000
20,"Lake, Hyde Park",Single-Family,55336,151100,68,"$108,500",45000,100000,2464,65000
20,"Lake, Hyde Park",Multi-Family (2-6 unit),121750,250000,191,"$193,000",110000,180000,3800,130000
37,"West Chicago, Jefferson",Condo,59701,116838,4,"$88,950",60000,110000,226,80000
37,"West Chicago, Jefferson",Single-Family,145000,231740,164,"$190,000",160000,190000,4654,170000
37,"West Chicago, Jefferson",Multi-Family (2-6 unit),184644,296640,128,"$251,500",200000,240000,4119,220000
3,"South Chicago, Lake, Hyde Park",Condo,210000,309868,263,"$260,000",220000,300000,17030,260000
3,"South Chicago, Lake, Hyde Park",Single-Family,403860,632600,112,"$519,500",310000,590000,2611,440000
3,"South Chicago, Lake, Hyde Park",Multi-Family (2-6 unit),233109,433860,70,"$315,000",170000,420000,1342,330000
28,West Chicago,Condo,217391,287544,75,"$237,405",230000,290000,2605,260000
28,West Chicago,Single-Family,152520,363800,87,"$217,500",90000,310000,2287,160000
28,West Chicago,Multi-Family (2-6 unit),173160,305160,177,"$256,000",120000,240000,4626,200000
31,Jefferson,Condo,122360,228400,33,"$168,000",100000,150000,651,110000
31,Jefferson,Single-Family,275000,360040,136,"$315,000",230000,290000,4448,280000
31,Jefferson,Multi-Family (2-6 unit),358850,440800,91,"$395,000",340000,390000,3332,360000
